listing_id,city_id,room_id,host_id,week_id,location_id,realSum,price_per_person,bedrooms,guest_satisfaction_overall,cleanliness_rating
1,1,1,1,1,1,194.03369812293488,97.01684906146744,1,93.0,10.0
2,1,1,2,1,2,344.2457760176224,86.0614440044056,1,85.0,8.0
3,1,1,2,1,3,264.1014224451058,132.0507112225529,1,87.0,9.0
4,1,1,2,1,4,433.5293979799874,108.38234949499684,2,90.0,9.0
5,1,1,3,1,5,485.5529257375859,242.77646286879295,1,98.0,10.0
6,1,1,2,1,6,552.808567478265,184.269522492755,2,100.0,8.0
7,1,1,2,1,7,215.12431748412348,107.56215874206174,1,94.0,10.0
8,1,2,3,1,8,2771.3073840601787,692.8268460150447,3,100.0,10.0
9,1,2,2,1,9,1001.8044196564572,250.4511049141143,2,96.0,9.0
10,1,1,1,1,10,276.52145384669467,138.26072692334733,1,88.0,10.0
11,1,2,2,1,11,909.4743748974762,454.7371874487381,1,96.0,10.0
12,1,1,4,1,12,319.6400534295691,159.82002671478455,1,97.0,10.0
13,1,2,2,1,13,675.6028402034074,168.90071005085184,1,87.0,8.0
14,1,2,3,1,14,552.808567478265,276.4042837391325,1,100.0,10.0
15,1,1,1,1,15,209.03147189089125,104.51573594544563,1,96.0,8.0
16,1,1,3,1,16,368.8514986056758,184.4257493028379,1,98.0,10.0
17,1,1,2,1,17,368.8514986056758,184.4257493028379,1,90.0,10.0
18,1,1,4,1,18,337.91859020926586,168.95929510463293,1,97.0,10.0
19,1,1,4,1,19,313.54720783633684,156.77360391816842,1,96.0,10.0
20,1,2,1,1,20,447.5898108874465,223.79490544372325,1,93.0,9.0
21,1,1,4,1,21,243.2451432990416,121.6225716495208,1,96.0,10.0
22,1,2,2,1,22,933.8457572704052,233.4614393176013,2,96.0,10.0
23,1,1,1,1,23,251.91573125864133,125.95786562932066,1,97.0,10.0
24,1,1,2,1,24,377.2877463501512,188.6438731750756,1,98.0,10.0
25,1,1,4,1,25,245.5885454502848,122.7942727251424,1,96.0,10.0
26,1,1,1,1,26,217.70205985049097,108.85102992524548,1,93.0,8.0
27,1,1,1,1,27,295.0343308415157,147.51716542075786,1,95.0,10.0
28,1,1,2,1,28,295.0343308415157,147.51716542075786,1,94.0,10.0
29,1,2,1,1,29,1032.9716682679916,258.2429170669979,2,96.0,9.0
30,1,1,3,1,30,270.4286082534624,67.6071520633656,1,98.0,10.0
31,1,2,2,1,31,524.6877416633469,262.3438708316734,1,89.0,9.0
32,1,2,2,1,32,599.6766105031285,149.91915262578212,3,94.0,9.0
33,1,2,2,1,33,516.0171537037471,129.00428842593678,2,100.0,9.0
34,1,2,2,1,34,602.254352869496,200.75145095649864,2,100.0,10.0
35,1,2,2,1,35,504.06580273240695,126.01645068310174,2,94.0,9.0
36,1,2,1,1,36,1609.9172779040612,268.3195463173435,3,96.0,10.0
37,1,2,1,1,37,310.9694654699693,155.48473273498465,0,94.0,9.0
38,1,1,2,1,38,202.70428608253465,101.35214304126733,1,94.0,10.0
39,1,2,2,1,39,796.2880509924308,199.0720127481077,2,94.0,10.0
40,1,1,2,1,40,504.06580273240695,252.03290136620348,1,96.0,9.0
41,1,1,2,1,41,319.6400534295691,159.82002671478455,1,95.0,10.0
42,1,1,2,1,42,614.4400440559605,153.61001101399012,1,96.0,9.0
43,1,1,2,1,43,467.0400487427648,155.68001624758827,1,94.0,10.0
